2025-04-09 14:51:34 [TestNG-test-Test Case Execution-2] INFO  Influxdb - Starting the Influxdb Server
2025-04-09 17:01:35 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Jmeter is initialised 
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Test Plan added to HashTree : 
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Processing Scenario: Ctaf-userManagement, TPS: 10, Duration: 60, RampUp: 10
2025-04-09 17:06:29 [main] INFO  org.base.ConfigUtils - Successfully changed the firstName value in to ${username}
2025-04-09 17:06:29 [main] INFO  org.base.ConfigUtils - Successfully changed the lastName value in to ${lastName}
2025-04-09 17:06:29 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Assertion : true
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Added JSON Extractor to API: signin
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Processing Controller: critical-section
2025-04-09 17:06:29 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Assertion : true
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Added JSON Extractor to API: create-user
2025-04-09 17:06:29 [main] INFO  org.base.ConfigUtils - Successfully changed the userId value in to ${userid}
2025-04-09 17:06:29 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Assertion : true
2025-04-09 17:06:29 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Assertion : true
2025-04-09 17:06:29 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:06:29 [main] INFO  org.base.Utils - Assertion : true
2025-04-09 17:14:23 [main] INFO  org.base.Utils - Jmeter is initialised 
2025-04-09 17:14:23 [main] INFO  org.base.Utils - Test Plan added to HashTree : 
2025-04-09 17:14:23 [main] INFO  org.base.Utils - Processing Scenario: Ctaf-userManagement, TPS: 10, Duration: 60, RampUp: 10
2025-04-09 17:14:23 [main] INFO  org.base.ConfigUtils - Successfully changed the firstName value in to ${username}
2025-04-09 17:14:23 [main] INFO  org.base.ConfigUtils - Successfully changed the lastName value in to ${lastName}
2025-04-09 17:14:23 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:14:23 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:14:23 [main] ERROR org.base.Utils - Enter Valid response assertion
2025-04-09 17:17:59 [main] INFO  org.base.Utils - Jmeter is initialised 
2025-04-09 17:17:59 [main] INFO  org.base.Utils - Test Plan added to HashTree : 
2025-04-09 17:17:59 [main] INFO  org.base.Utils - Processing Scenario: Ctaf-userManagement, TPS: 10, Duration: 60, RampUp: 10
2025-04-09 17:17:59 [main] INFO  org.base.ConfigUtils - Successfully changed the firstName value in to ${username}
2025-04-09 17:17:59 [main] INFO  org.base.ConfigUtils - Successfully changed the lastName value in to ${lastName}
2025-04-09 17:17:59 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:17:59 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:17:59 [main] ERROR org.base.Utils - Enter Valid response assertion
2025-04-09 17:20:40 [main] INFO  org.base.Utils - Jmeter is initialised 
2025-04-09 17:20:40 [main] INFO  org.base.Utils - Test Plan added to HashTree : 
2025-04-09 17:20:40 [main] INFO  org.base.Utils - Processing Scenario: Ctaf-userManagement, TPS: 10, Duration: 60, RampUp: 10
2025-04-09 17:20:40 [main] INFO  org.base.ConfigUtils - Successfully changed the firstName value in to ${username}
2025-04-09 17:20:40 [main] INFO  org.base.ConfigUtils - Successfully changed the lastName value in to ${lastName}
2025-04-09 17:20:40 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:20:40 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:20:40 [main] ERROR org.base.Utils - Enter Valid response assertion
2025-04-09 17:21:17 [main] INFO  org.base.Utils - Jmeter is initialised 
2025-04-09 17:21:17 [main] INFO  org.base.Utils - Test Plan added to HashTree : 
2025-04-09 17:21:17 [main] INFO  org.base.Utils - Processing Scenario: Ctaf-userManagement, TPS: 10, Duration: 60, RampUp: 10
2025-04-09 17:21:17 [main] INFO  org.base.ConfigUtils - Successfully changed the firstName value in to ${username}
2025-04-09 17:21:17 [main] INFO  org.base.ConfigUtils - Successfully changed the lastName value in to ${lastName}
2025-04-09 17:21:18 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:21:18 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:21:18 [main] INFO  org.base.Utils - response
2025-04-09 17:21:18 [main] ERROR org.base.Utils - Enter Valid response assertion
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Jmeter is initialised 
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Test Plan added to HashTree : 
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Processing Scenario: Ctaf-userManagement, TPS: 10, Duration: 60, RampUp: 10
2025-04-09 17:22:49 [main] INFO  org.base.ConfigUtils - Successfully changed the firstName value in to ${username}
2025-04-09 17:22:49 [main] INFO  org.base.ConfigUtils - Successfully changed the lastName value in to ${lastName}
2025-04-09 17:22:49 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:22:49 [main] INFO  org.base.Utils - response
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Added JSON Extractor to API: signin
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Processing Controller: critical-section
2025-04-09 17:22:49 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:22:49 [main] INFO  org.base.Utils - response
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Added JSON Extractor to API: create-user
2025-04-09 17:22:49 [main] INFO  org.base.ConfigUtils - Successfully changed the userId value in to ${userid}
2025-04-09 17:22:49 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:22:49 [main] INFO  org.base.Utils - response
2025-04-09 17:22:49 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:22:49 [main] INFO  org.base.Utils - response
2025-04-09 17:22:49 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:22:49 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:22:49 [main] INFO  org.base.Utils - response
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Jmeter is initialised 
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Test Plan added to HashTree : 
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Processing Scenario: Ctaf-userManagement, TPS: 10, Duration: 60, RampUp: 10
2025-04-09 17:26:42 [main] INFO  org.base.ConfigUtils - Successfully changed the firstName value in to ${username}
2025-04-09 17:26:42 [main] INFO  org.base.ConfigUtils - Successfully changed the lastName value in to ${lastName}
2025-04-09 17:26:42 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:26:42 [main] INFO  org.base.Utils - response
2025-04-09 17:26:42 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Added JSON Extractor to API: signin
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Processing Controller: critical-section
2025-04-09 17:26:42 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:26:42 [main] INFO  org.base.Utils - response
2025-04-09 17:26:42 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Added JSON Extractor to API: create-user
2025-04-09 17:26:42 [main] INFO  org.base.ConfigUtils - Successfully changed the userId value in to ${userid}
2025-04-09 17:26:42 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:26:42 [main] INFO  org.base.Utils - response
2025-04-09 17:26:42 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:26:42 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:26:42 [main] INFO  org.base.Utils - response
2025-04-09 17:26:42 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:26:42 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:26:42 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:26:42 [main] INFO  org.base.Utils - response
2025-04-09 17:26:42 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Jmeter is initialised 
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Test Plan added to HashTree : 
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Processing Scenario: Ctaf-userManagement, TPS: 10, Duration: 60, RampUp: 10
2025-04-09 17:27:42 [main] INFO  org.base.ConfigUtils - Successfully changed the firstName value in to ${username}
2025-04-09 17:27:42 [main] INFO  org.base.ConfigUtils - Successfully changed the lastName value in to ${lastName}
2025-04-09 17:27:42 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:27:42 [main] INFO  org.base.Utils - response
2025-04-09 17:27:42 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Added JSON Extractor to API: signin
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Processing Controller: critical-section
2025-04-09 17:27:42 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:27:42 [main] INFO  org.base.Utils - response
2025-04-09 17:27:42 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Added JSON Extractor to API: create-user
2025-04-09 17:27:42 [main] INFO  org.base.ConfigUtils - Successfully changed the userId value in to ${userid}
2025-04-09 17:27:42 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:27:42 [main] INFO  org.base.Utils - response
2025-04-09 17:27:42 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:27:42 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:27:42 [main] INFO  org.base.Utils - response
2025-04-09 17:27:42 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:27:42 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:27:42 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:27:42 [main] INFO  org.base.Utils - response
2025-04-09 17:27:42 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Jmeter is initialised 
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Test Plan added to HashTree : 
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Processing Scenario: Ctaf-userManagement, TPS: 10, Duration: 60, RampUp: 10
2025-04-09 17:28:36 [main] INFO  org.base.ConfigUtils - Successfully changed the firstName value in to ${username}
2025-04-09 17:28:36 [main] INFO  org.base.ConfigUtils - Successfully changed the lastName value in to ${lastName}
2025-04-09 17:28:36 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:28:36 [main] INFO  org.base.Utils - response
2025-04-09 17:28:36 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Added JSON Extractor to API: signin
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Processing Controller: critical-section
2025-04-09 17:28:36 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:28:36 [main] INFO  org.base.Utils - response
2025-04-09 17:28:36 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Added JSON Extractor to API: create-user
2025-04-09 17:28:36 [main] INFO  org.base.ConfigUtils - Successfully changed the userId value in to ${userid}
2025-04-09 17:28:36 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:28:36 [main] INFO  org.base.Utils - response
2025-04-09 17:28:36 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:28:36 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:28:36 [main] INFO  org.base.Utils - response
2025-04-09 17:28:36 [main] INFO  org.base.Utils - timer : false
2025-04-09 17:28:36 [main] INFO  org.base.ConfigUtils - Header Manager added : 
2025-04-09 17:28:36 [main] INFO  org.base.Utils - Assertion : false
2025-04-09 17:28:36 [main] INFO  org.base.Utils - response
2025-04-09 17:28:36 [main] INFO  org.base.Utils - timer : false
